station_idx,day,value,var,timestamp,new_part,shahrestan,subbasin_i,Longitude,Latitude,new_elevation
2305,223,646.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,223,634.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,223,645.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,223,635.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,223,609.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,224,592.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,224,660.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,224,647.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,224,648.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,224,644.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,224,634.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,224,635.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,224,609.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,225,592.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,225,660.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,225,648.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,225,644.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,225,635.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,225,649.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,225,609.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,225,640.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,226,592.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,226,660.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,226,648.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,226,644.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,226,635.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,226,649.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,226,640.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,227,660.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,227,648.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,227,644.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,227,649.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,227,640.0,tmin,2026-08-02T08:07:48.485821,,,,,,
2305,228,644.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,228,649.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,228,640.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,228,644.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,229,649.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,229,640.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,229,644.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,229,595.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,230,648.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,230,644.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,230,595.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,231,648.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,231,661.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,231,644.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,231,595.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,231,649.0,tmin,2026-08-02T08:07:48.486850,,,,,,
2305,232,607.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,232,593.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,232,648.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,232,661.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,232,642.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,232,644.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,232,595.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,232,649.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,233,649.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,233,607.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,233,593.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,233,648.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,233,661.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,233,658.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,233,642.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,233,595.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,233,649.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,234,649.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,234,607.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,234,593.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,234,648.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,234,661.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,234,658.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,234,647.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,234,642.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,234,649.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,235,649.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,235,607.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,235,593.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,235,666.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,235,661.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,235,658.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,235,647.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,235,643.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,235,642.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,235,649.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,236,649.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,236,607.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,236,607.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,236,593.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,236,666.0,tmin,2026-08-02T08:07:48.487846,,,,,,
2305,236,649.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,236,658.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,236,647.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,236,643.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,236,649.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,236,642.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,237,649.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,237,607.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,237,666.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,237,649.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,237,639.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,237,658.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,237,647.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,237,643.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,237,649.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,238,639.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,238,607.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,238,666.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,238,649.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,238,639.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,238,629.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,238,647.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,238,643.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,238,649.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,239,639.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,239,607.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,239,635.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,239,666.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,239,649.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,239,639.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,239,629.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,239,643.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,239,649.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,239,632.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,239,667.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,639.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,607.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,635.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,642.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,649.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,639.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,629.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,558.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,649.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,632.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,647.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,240,667.0,tmin,2026-08-02T08:07:48.488846,,,,,,
2305,241,639.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,241,635.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,241,642.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,241,639.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,241,629.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,241,558.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,241,632.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,241,647.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,241,667.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,242,639.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,242,635.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,242,642.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,242,644.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,242,629.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,242,558.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,242,632.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,242,647.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,242,642.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,242,667.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,243,635.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,243,642.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,243,644.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,243,640.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,243,558.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,243,646.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,243,632.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,243,631.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,243,647.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,243,642.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,243,667.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,244,642.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,244,644.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,244,640.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,244,633.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,244,558.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,244,646.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,244,631.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,244,633.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,244,647.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,244,642.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,245,644.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,245,640.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,245,633.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,245,625.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,245,646.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,245,630.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,245,631.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,245,633.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,245,637.0,tmin,2026-08-02T08:07:48.489839,,,,,,
2305,245,642.0,tmin,2026-08-02T08:07:48.489839,,,,,,
