stationid	new_part	shahrestan	subbasin_i	Longitude	Latitude	new_elevation
19298	2	0	553	50.2526	32.555	2676
19299	1	176	385	52.33	32.33	1518
19300	2	339	129	50.69	32.32	2108
19305	2	295	136	48.83208847	32.49784088	483
19344	1	11	565	55.52	32.31	1403
19350	2	341	128	50.29	32.17	1990
19352	1	11	550	54.03	32.29	1049
19380	1	0	0	50.03306	32.21139	1492
19389	2	301	136	48.65608978	32.09209824	47
19391	2	342	132	50.95	32.083333	2027
19393	2	342	130	50.82	32.04	2024
19402	1	18	550	53.54	32.02	1992
19404	1	0	124	51.16	31.87	2236
19408	1	16	550	54.18631	32.010931	1167
19418	2	336	124	51.15	31.86	2233
19420	1	183	377	51.46556473	31.91013718	2251
19424	2	336	130	50.95	31.9	2389
19426	1	16	550	53.95	31.88	1640
19435	1	14	551	53.85	31.76	2283
19438	1	14	551	54.16	31.74	1649
19439	2	336	124	51.3	31.733056	2213
19449	2	0	551	53.8333	31.65	2369
19478	2	289	147	49.83821106	31.57793617	733
19483	1	12	562	55.909821	31.540781	1876
19504	1	218	562	56.27	31.42	2004
19511	1	14	421	54.09	31.48	2455
19516	1	281	581	60.72721863	31.38699722	723
19518	1	17	556	54.91	31.32	1462
19520	1	205	467	56.48	31.33	2415
19526	2	343	114	51.25	31.28	1730
19543	2	184	115	51.7	31.15	2291
19546	1	149	586	61.78884125	31.14803123	484
19551	2	302	103	48.51059341	31.08016014	9
19554	1	209	564	56.55	31.07	2270
19560	2	302	103	48.46868134	30.98296547	10
19563	2	184	115	51.68964005	30.93441963	2315
19564	1	205	466	56.8961	31.39861	1049
19567	1	10	417	53.43	30.93	1475
19568	2	148	490	58	30.93	247
19574	1	148	586	61.45182419	30.86478996	479
19577	2	367	406	52.52	30.84	2373
19579	1	206	555	55.8	30.82	1351
19581	2	294	103	48.25975037	30.90858841	20
19602	1	216	473	57.816667	30.566667	297
19607	2	0	144	49.09390259	30.52613449	12
19622	2	371	404	53.239167	30.271944	1906
19632	1	216	559	57.12	30.23	1774
19639	2	391	404	53.167985	30.19474	1850
19641	1	136	487	60.29727173	30.03524971	1337
19650	1	216	559	57.23	30.03	2065
19653	2	391	402	53.145	30.021111	1785
19660	2	388	169	50.96	29.99	601
19680	1	216	474	57.73	29.85	1880
19686	2	378	412	52.586389	29.728889	1789
19689	1	390	394	53.7244	29.8036	1591
19710	1	216	477	57.43	29.58	2240
19726	2	383	171	51.33	29.56	491
19739	2	370	400	53.29803	29.502412	1606
19744	1	136	484	60.38303375	28.92190361	1425
19749	2	325	170	51.03	29.22	18
19765	1	204	446	56.92	29.27	2237
19769	1	203	478	57.33	29.22	2703
19780	1	0	179	52.68	29.22	1565
19799	2	325	179	51.09	29.03	13
19805	1	214	476	58.88	28.95	673
19807	1	220	476	58.71	28.93	754
19809	1	145	591	60.97665405	28.95000076	1742
19816	2	0	438	57.88	28.9	1894
19830	2	0	242	56.33	28.82	2055
19854	1	208	479	59	28.65	638
